Brightness
2.40
2.40
2.40
2.40
2.48
2.48
2.40
2.40
2.40
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.40
2.40
2.48
2.48
2.48
2.48
2.48
2.40
2.40
2.48
2.48
2.48
2.48
2.40
2.40
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.40
2.32
2.40
2.40
2.32
2.32
2.32
2.32
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.40
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.40
2.48
2.40
2.40
2.40
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.48
2.40
2.40
2.40
2.40
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
1.92
2.16
2.16
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.08
2.08
1.92
1.84
2.08
2.16
2.24
2.16
2.16
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.16
2.00
1.92
1.44
1.28
2.00
2.24
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.24
2.24
2.24
2.16
2.16
2.08
1.52
1.12
1.04
0.96
0.80
1.12
1.52
2.00
2.16
2.16
2.16
2.16
2.16
2.16
2.16
2.08
1.44
0.80
0.72
1.52
2.16
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.24
2.32
2.24
2.32
2.24
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.32
2.00
0.16
0.16
0.64
0.40
0.32
0.32
0.32
0.40
2.80
4.66
5.70
5.14
2.88
1.36
1.52
1.52
1.52
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.60
1.68
1.60
1.68
1.60
1.60
1.60
1.60
1.44
1.60
1.60
1.52
1.20
2.48
3.53
4.25
4.66
4.90
5.22
4.98
5.54
5.86
5.87
5.95
5.87
6.11
5.79
6.19
6.03
6.19
6.51
6.75
7.23
7.07
7.07
6.99
6.83
7.31
7.15
7.86
7.70
7.39
7.86
7.23
7.39
7.86
7.23
6.83
6.59
6.43
6.19
5.87
5.86
6.02
6.91
8.02
8.02
8.52
8.84
9.78
9.93
9.30
9.00
9.12
9.16
9.14
9.12
8.97
8.66
9.14
8.96
8.82
9.14
8.66
8.34
8.80
8.64
8.66
8.66
8.18
8.80
8.80
8.50
8.47
7.86
7.06
6.58
5.70
4.89
4.89
4.09
4.01
3.93
3.93
3.93
3.93
